,outputs,inputs,low,high,average
0,3.399,0.307,0.193,0.365,0.27955
1,3.353,0.299,0.189,0.354,0.27075
2,3.309,0.291,0.184,0.345,0.2623
3,3.268,0.284,0.18,0.337,0.2546
4,3.229,0.277,0.176,0.329,0.2474
5,3.192,0.271,0.173,0.321,0.2404
6,3.158,0.265,0.169,0.315,0.23425
7,3.127,0.259,0.166,0.308,0.2284
8,3.098,0.254,0.163,0.303,0.22305
9,3.071,0.249,0.16,0.297,0.21785
10,3.047,0.245,0.157,0.292,0.2132
11,3.026,0.241,0.153,0.288,0.20925
12,3.007,0.238,0.151,0.284,0.2057
13,2.991,0.235,0.148,0.281,0.2025
14,2.978,0.233,0.146,0.279,0.2001
15,2.968,0.231,0.144,0.277,0.1981
16,2.96,0.23,0.143,0.275,0.1966
17,2.955,0.229,0.142,0.274,0.19555
18,2.953,0.229,0.142,0.274,0.19515
19,2.953,0.229,0.142,0.274,0.19515
20,2.953,0.229,0.142,0.274,0.19515
21,2.953,0.231,0.142,0.274,0.19515
22,2.953,0.232,0.142,0.274,0.19515
23,2.953,0.234,0.142,0.274,0.19515
24,2.953,0.237,0.142,0.274,0.19515
25,2.953,0.24,0.142,0.274,0.19515
26,2.953,0.244,0.142,0.274,0.19515
27,2.953,0.248,0.142,0.274,0.19515
28,2.953,0.253,0.142,0.274,0.19515
29,2.953,0.258,0.142,0.274,0.19515
30,2.953,0.264,0.142,0.274,0.19515
31,2.953,0.27,0.142,0.274,0.19515
32,2.953,0.276,0.142,0.274,0.19515
33,2.953,0.284,0.142,0.274,0.19515
34,2.953,0.291,0.142,0.274,0.19515
35,2.953,0.299,0.142,0.274,0.19515
36,2.953,0.308,0.142,0.274,0.19515
37,2.953,0.317,0.142,0.274,0.19515
38,2.953,0.327,0.142,0.274,0.19515
39,2.953,0.337,0.142,0.274,0.19515
40,2.953,0.348,0.142,0.274,0.19515
41,2.953,0.359,0.142,0.274,0.19515
42,2.953,0.37,0.142,0.274,0.19515
43,2.953,0.382,0.142,0.274,0.19515
44,2.953,0.394,0.142,0.274,0.19515
45,2.953,0.407,0.142,0.274,0.19515
46,2.953,0.421,0.142,0.274,0.19515
47,2.968,0.434,0.142,0.274,0.19515
48,3.007,0.448,0.142,0.274,0.19515
49,3.047,0.463,0.142,0.274,0.19515
50,3.088,0.478,0.142,0.274,0.19515
51,3.13,0.493,0.142,0.274,0.19515
52,3.173,0.509,0.142,0.274,0.1991
53,3.217,0.525,0.147,0.291,0.2222
54,3.262,0.541,0.166,0.315,0.2472
55,3.308,0.558,0.187,0.345,0.2728
56,3.355,0.575,0.207,0.375,0.2988
57,3.402,0.593,0.226,0.405,0.32475
58,3.451,0.611,0.246,0.436,0.35185
59,3.501,0.629,0.266,0.468,0.37965
60,3.576,0.647,0.297,0.515,0.42115
61,3.653,0.666,0.328,0.564,0.46395
62,3.731,0.685,0.359,0.612,0.5058
63,3.81,0.704,0.391,0.637,0.54325
64,3.891,0.724,0.423,0.661,0.57815
65,3.972,0.743,0.456,0.686,0.61135
66,4.054,0.763,0.488,0.71,0.64165
67,4.137,0.784,0.521,0.734,0.6703
68,4.221,0.804,0.554,0.763,0.6974
69,4.305,0.825,0.587,0.795,0.72285
70,4.406,0.845,0.627,0.841,0.75165
71,4.511,0.866,0.669,0.887,0.779
72,4.617,0.887,0.702,0.91,0.80385
73,4.724,0.909,0.73,0.928,0.8267
74,4.831,0.93,0.755,0.945,0.84795
75,4.939,0.951,0.779,0.961,0.86795
76,5.047,0.973,0.802,0.975,0.8866
77,5.156,0.995,0.823,0.993,0.9046
78,5.265,1.016,0.845,1.017,0.9218
79,5.381,1.038,0.866,1.033,0.9383
80,5.506,1.06,0.878,1.04,0.9549
81,5.63,1.082,0.889,1.047,0.97095
82,5.755,1.104,0.901,1.055,0.98705
83,5.88,1.126,0.912,1.069,1.00275
84,6.005,1.148,0.924,1.089,1.01885
85,6.183,1.169,0.936,1.106,1.03205
86,6.388,1.191,0.946,1.121,1.04475
87,6.593,1.213,0.957,1.144,1.05845
88,6.796,1.234,0.968,1.173,1.07305
89,6.999,1.256,0.98,1.204,1.08895
90,7.201,1.277,0.991,1.236,1.10555
91,7.402,1.299,1.003,1.27,1.12285
92,7.601,1.32,1.014,1.304,1.14065
93,7.799,1.341,1.029,1.338,1.1591
94,7.997,1.362,1.047,1.373,1.1781
95,8.194,1.382,1.069,1.408,1.19785
96,8.391,1.403,1.094,1.444,1.218
97,8.585,1.423,1.12,1.479,1.23825
98,8.777,1.443,1.148,1.515,1.2587
99,8.966,1.463,1.176,1.549,1.279
100,9.154,1.483,1.205,1.584,1.2995
101,9.339,1.502,1.233,1.618,1.31995
102,9.521,1.521,1.248,1.652,1.3401
103,9.7,1.54,1.264,1.685,1.36025
104,9.877,1.558,1.279,1.718,1.38015
105,10.053,1.576,1.293,1.751,1.40015
106,10.226,1.594,1.307,1.783,1.41985
107,10.395,1.612,1.321,1.814,1.43925
108,10.561,1.629,1.336,1.845,1.4584
109,10.724,1.645,1.351,1.876,1.4773
110,10.883,1.662,1.367,1.906,1.4959
111,11.038,1.678,1.382,1.934,1.5139
112,11.189,1.693,1.395,1.963,1.5317
113,11.336,1.708,1.408,1.99,1.549
114,11.478,1.723,1.421,2.017,1.56585
115,11.617,1.737,1.433,2.043,1.5823
116,11.751,1.751,1.445,2.068,1.59815
117,11.882,1.765,1.457,2.092,1.6138
118,12.009,1.777,1.468,2.116,1.62895
119,12.131,1.79,1.479,2.139,1.6434
120,12.248,1.802,1.49,2.161,1.6575
121,12.361,1.813,1.5,2.182,1.67115
122,12.468,1.824,1.51,2.202,1.6841
123,12.57,1.834,1.519,2.221,1.6963
124,12.667,1.844,1.528,2.239,1.70795
125,12.759,1.854,1.536,2.257,1.71905
126,12.845,1.862,1.544,2.273,1.72955
127,12.926,1.871,1.551,2.288,1.7392
128,13.001,1.878,1.558,2.302,1.74835
129,13.071,1.885,1.564,2.315,1.75675
130,13.135,1.892,1.57,2.327,1.7645
131,13.194,1.898,1.576,2.338,1.7717
132,13.246,1.903,1.58,2.348,1.77805
133,13.293,1.908,1.585,2.357,1.78375
134,13.334,1.912,1.588,2.364,1.78865
135,13.369,1.915,1.592,2.371,1.79295
136,13.398,1.918,1.594,2.376,1.7965
137,13.421,1.921,1.596,2.381,1.7993
138,13.438,1.922,1.598,2.384,1.80135
139,13.449,1.924,1.599,2.386,1.8027
140,13.453,1.924,1.599,2.387,1.8032
141,13.453,1.924,1.599,2.387,1.8032
142,13.453,1.923,1.599,2.387,1.8032
143,13.453,1.922,1.599,2.387,1.8032
144,13.453,1.92,1.599,2.387,1.8032
145,13.453,1.917,1.599,2.387,1.8032
146,13.453,1.914,1.599,2.387,1.8032
147,13.453,1.91,1.599,2.387,1.8032
148,13.453,1.905,1.599,2.387,1.8032
149,13.453,1.9,1.599,2.387,1.8032
150,13.453,1.894,1.599,2.387,1.8032
151,13.453,1.888,1.599,2.387,1.8032
152,13.453,1.881,1.599,2.387,1.8032
153,13.453,1.873,1.599,2.387,1.8032
154,13.453,1.864,1.599,2.387,1.8032
155,13.453,1.855,1.599,2.387,1.8032
156,13.453,1.846,1.599,2.387,1.8032
157,13.453,1.836,1.599,2.387,1.8032
158,13.453,1.825,1.599,2.387,1.8032
159,13.453,1.813,1.599,2.387,1.8032
160,13.453,1.801,1.599,2.387,1.8032
161,13.453,1.789,1.599,2.387,1.8032
162,13.453,1.775,1.599,2.387,1.8032
163,13.453,1.762,1.599,2.387,1.8032
164,13.453,1.747,1.599,2.387,1.8032
165,13.453,1.732,1.599,2.387,1.8032
166,13.433,1.717,1.599,2.387,1.8032
167,13.389,1.7,1.599,2.387,1.8032
168,13.343,1.684,1.599,2.387,1.8032
169,13.296,1.666,1.599,2.387,1.8032
170,13.247,1.649,1.599,2.387,1.80295
171,13.197,1.63,1.574,2.355,1.78065
172,13.145,1.612,1.547,2.322,1.7519
173,13.092,1.592,1.518,2.288,1.7225
174,13.038,1.572,1.49,2.254,1.6927
175,12.982,1.552,1.46,2.218,1.66175
176,12.925,1.531,1.429,2.182,1.63015
177,12.847,1.51,1.388,2.133,1.58705
178,12.758,1.488,1.34,2.078,1.53775
179,12.667,1.466,1.292,2.027,1.49075
180,12.573,1.443,1.253,2.002,1.4534
181,12.478,1.42,1.223,1.981,1.42095
182,12.382,1.396,1.193,1.959,1.3918
183,12.283,1.373,1.162,1.937,1.3651
184,12.184,1.348,1.131,1.914,1.34055
185,12.082,1.324,1.106,1.891,1.317
186,11.956,1.298,1.078,1.865,1.2894
187,11.828,1.273,1.049,1.838,1.26275
188,11.698,1.247,1.021,1.81,1.23705
189,11.567,1.221,0.997,1.782,1.21235
190,11.435,1.195,0.975,1.754,1.18805
191,11.3,1.168,0.953,1.726,1.164
192,11.165,1.141,0.931,1.697,1.1403
193,11.02,1.114,0.907,1.667,1.1149
194,10.863,1.086,0.883,1.634,1.0878
